"title_name","title_url","title_ingredients_name","title_directions_name","title_directions_selection2"
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","1 ½ cups sifted all-purpose flour","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","1 tablespoon milk","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","½ cup white sugar","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon baking soda","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","¼ cup light corn syrup","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","¼ teaspoon salt","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","½ cup shortening","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","1 cup peanut butter","",""
"Double Peanut Butter Cookies I","https://www.allrecipes.com/recipe/10368/double-peanut-butter-cookies-i/?internalSource=hub%20recipe&referringContentType=Search","1 cup semisweet chocolate chips","",""
"","","","Step 1","Combine flour, sugar, soda and salt. Cut in shortening and peanut butter until mixture resembles coarse meal. Blend in syrup and milk."
"","","","Step 2","Shape in roll 2 inches in diameter; chill. Slice 1/8 to 1/4 inches thick."
"","","","Step 3","Place 1/2 the slices on ungreased cookie sheet; spread each with 1/2 teaspoon peanut butter. Sprinkle chocolate chips on top of the peanut butter. Cover with remaining cookie slices; seal edges with a fork."
"","","","Step 4","Cover with remaining cookie slices; seal edges with a fork. Bake at 350 degrees F (175 degrees C) for 12 minutes, or until browned."
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 ¼ cups all-purpose flour","",""
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking soda","",""
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon salt","",""
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup Becel® Buttery Taste or Original Margarine*","",""
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup firmly packed light brown sugar","",""
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup granulated sugar","",""
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 large eggs large Naturegg™ Omega 3 eggs","",""
"Becel Anything Goes Cookie Dough Mocha Crinkle Cookies","https://www.allrecipes.com/recipe/245222/becel-anything-goes-cookie-dough-mocha-crinkle-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon vanilla extract","",""
