"title_name","title_url","title_ingredients_name","title_directions_name","title_directions_selection2"
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup white sugar","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 large egg yolks egg yolks","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon vanilla extract","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","⅛ teaspoon ground cardamom","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ teaspoon ground allspice","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 cups all-purpose flour","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup chopped pecans","",""
"Czechoslovakian Cookies","https://www.allrecipes.com/recipe/11358/czechoslovakian-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ cup strawberry jam","",""
"","","","Step 1","Preheat oven to 325 degrees F (165 degrees C). Grease one 8 inch square baking dish."
"","","","Step 2","Cream the butter until soft and fluffy. Add the white sugar gradually, until light and fluffy. Beat in the egg yolks."
"","","","Step 3","Sift the cardamom, allspice and flour together. Gradually add it to the butter mixture and stir to combine well. Stir in the chopped pecans."
"","","","Step 4","Spoon 1/2 of the dough into the prepared pan, spreading evenly. Top with strawberry jam and cover with the remaining dough."
"","","","Step 5","Bake at 325 degrees F (165 degrees C) for 1 hour or until lightly browned. Cool then cut into 1 1/2 inch sized squares."
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 ¼ cups white sugar","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter flavored shortening","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 large eggs eggs","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup light corn syrup","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 tablespoon vanilla extract","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","3 cups all-purpose flour","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","¾ teaspoon baking powder","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon baking soda","",""
"Ultimate Sugar Cookies","https://www.allrecipes.com/recipe/10840/ultimate-sugar-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon salt","",""
"","","","Step 1","Beat sugar and shortening at medium speed of electric mixer until well blended. Add eggs, syrup and vanilla; beat well. Gradually add combined dry ingredients at low speed. Mix until well blended."
"","","","Step 2","Refrigerate dough 1 hour."
"","","","Step 3","Roll out dough between two sheets of lightly floured wax paper. Cut out with floured cutter."
"","","","Step 4","Bake on ungreased cookie sheets at 375 degrees F (190 degrees C) for 5-9 minutes, depending on size and thickness of cookies. Do not overbake. Cool 2 minutes, then remove from cookie sheets to cool."
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","3 cups all-purpose flour","",""
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ cup poppy seeds","",""
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 ½ teaspoons baking powder","",""
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ teaspoon salt","",""
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter, softened","",""
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","⅔ cup white sugar","",""
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 egg, separated","",""
"Munn Cookies","https://www.allrecipes.com/recipe/11477/munn-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 tablespoons lemon zest","",""
