"title_name","title_url","title_ingredients_name","title_directions_name","title_directions_selection2"
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup raisins","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup white sugar","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter, softened","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 large eggs eggs","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon vanilla extract","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 cups all-purpose flour","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking soda","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon salt","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon ground cinnamon","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ teaspoon ground nutmeg","",""
"Grandma's Oatmeal Cookies","https://www.allrecipes.com/recipe/11578/grandmas-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 cups quick cooking oats","",""
"","","","Step 1","In a small saucepan, combine raisins and enough water to cover. Bring to a boil, and remove from heat. Preheat oven to 350 degrees F (175 degrees C). Grease a cookie sheet. Drain plumped raisins, reserve 6 tablespoons of the liquid."
"","","","Step 2","In a large bowl, cream butter and sugar. Gradually add eggs, vanilla, and the 6 tablespoons water from the raisin pan; mix until light and fluffy. Sift together the flour, baking soda, salt, cinnamon, and nutmeg; stir into the creamed mixture. Finally, stir in the oats and raisins; mixing until just combined. Drop by rounded teaspoonfuls onto the prepared cookie sheet. Bake for 12 to 15 minutes in the preheated oven, edges should be golden brown."
"Rosenmunnar","https://www.allrecipes.com/recipe/9745/rosenmunnar/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter, softened","",""
"Rosenmunnar","https://www.allrecipes.com/recipe/9745/rosenmunnar/?internalSource=hub%20recipe&referringContentType=Search","½ cup white sugar","",""
"Rosenmunnar","https://www.allrecipes.com/recipe/9745/rosenmunnar/?internalSource=hub%20recipe&referringContentType=Search","2 cups sifted all-purpose flour","",""
"Rosenmunnar","https://www.allrecipes.com/recipe/9745/rosenmunnar/?internalSource=hub%20recipe&referringContentType=Search","½ cup any flavor fruit jam","",""
"","","","Step 1","Preheat oven to 375 degrees F (190 degrees C)."
"","","","Step 2","Cream butter and sugar until light and fluffy. Add sifted flour, and mix well. Shape dough into 1-inch balls and place on cookie sheets. Imprint your thumb in the center to make a 1/2-inch indentation. Fill with your favorite preserves."
"","","","Step 3","Bake 15 to 20 minutes or until golden brown at the edges."
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ cup butter, softened","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup white sugar","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup brown sugar","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 egg white, beaten until foamy","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup unsweetened applesauce","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 large naval orange, zested and juiced","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup whole wheat flour","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup quick-cooking oats","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","¾ cup chopped walnuts","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon baking soda","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon cream of tartar","",""
"Orange Oatmeal Cookies","https://www.allrecipes.com/recipe/229341/orange-oatmeal-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon ground cinnamon","",""
"","","","Step 1","Preheat oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment paper."
"","","","Step 2","Beat butter, white sugar, and brown sugar with an electric mixer in a large bowl until smooth. Stir egg white and applesauce into butter mixture until just combined into a dough. Add orange juice with pulp and orange zest to the dough; stir."
"","","","Step 3","Mix flour, oats, walnuts, baking soda, cream of tartar, and cinnamon in a separate bowl; fold into the dough until evenly incorporated."
"","","","Step 4","Drop by heaping tablespoon onto prepared baking sheets."
"","","","Step 5","Bake in preheated oven until bottom of cookies are lightly browned, 10 to 12 minutes. Cool on baking sheets 2 to 3 minutes before moving to wire racks to cool completely."
"Skinny Girl Chocolate Chip Cookies","https://www.allrecipes.com/recipe/244548/skinny-girl-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","⅔ cup whole wheat pastry flour","",""
"Skinny Girl Chocolate Chip Cookies","https://www.allrecipes.com/recipe/244548/skinny-girl-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ cup cocoa nibs","",""
"Skinny Girl Chocolate Chip Cookies","https://www.allrecipes.com/recipe/244548/skinny-girl-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup honey","",""
