"title_name","title_url","title_ingredients_name","title_directions_name","title_directions_selection2"
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter, softened","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup white sugar","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup packed brown sugar","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 large eggs eggs","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon vanilla extract","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 cups all-purpose flour","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 ½ cups rolled oats","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon salt","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking powder","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking soda","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 cups semisweet chocolate chips","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","4 ounces milk chocolate, grated","",""
"Urban Legend Chocolate Chip Cookies","https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 ½ cups chopped walnuts","",""
"","","","Step 1","Preheat oven to 375 degrees F (190 degrees C). Measure oats into a blender or food processor, and then blend to a fine powder. Set aside."
"","","","Step 2","In a large bowl, cream together butter and sugars. Beat in the eggs one at a time, then stir in the vanilla. In a separate bowl, mix together flour, oats, salt, baking powder, and baking soda. Stir dry ingredients into creamed butter and sugar. Add chocolate chips, grated chocolate, and nuts."
"","","","Step 3","Drop by rounded teaspoons onto ungreased cookie sheets. Bake for 6 to 8 minutes in the preheated oven."
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","3 cups all-purpose flour","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking soda","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon salt","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter, softened","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 ½ cups white sugar","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 large eggs eggs","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup lemon juice","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 lemon, zested","",""
"Princess Cookies","https://www.allrecipes.com/recipe/214693/princess-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ teaspoon vanilla extract","",""
"","","","Step 1","Preheat oven to 350 degrees F (175 degrees C)."
"","","","Step 2","Whisk together the flour, baking soda, and salt in a bowl until thoroughly combined. In a mixing bowl, beat the butter and sugar with an electric mixer until creamy, about 5 minutes, then beat in eggs, one at a time, incorporating each before adding the next. Beat in the lemon juice, lemon zest, and vanilla extract. Gently mix in the flour mixture until just incorporated. Chill the dough about 30 minutes."
"","","","Step 3","Scoop up about 1 1/2 teaspoon of dough per cookie, gently form into a ball, and place the balls onto baking sheets about 2 inches apart."
"","","","Step 4","Bake in the preheated oven until the cookies are set and just beginning to brown at the edges, about 8 minutes; cool on baking sheets for 1 minute before removing to finish cooling on racks."
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter, softened","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 ½ cups all-purpose flour","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ cup white sugar","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","½ cup packed brown sugar","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 egg","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking powder","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon vanilla extract","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","¼ cup raspberry preserves","",""
"Jelly Cookies","https://www.allrecipes.com/recipe/11316/jelly-cookies/?internalSource=hub%20recipe&referringContentType=Search","⅓ cup confectioners' sugar for decoration","",""
"","","","Step 1","Preheat oven to 350 degrees F (175 degrees C). Grease baking sheets."
"","","","Step 2","Cream the butter with the white sugar and brown sugar. Beat in the egg and vanilla."
"","","","Step 3","Mix the flour and baking powder together. Stir in the flour mixture into the butter mixture and combine."
"","","","Step 4","Form dough into 1 inch balls and place on the prepared baking sheet. Make an indentation in each cookie and fill with jam. Bake at 350 degrees F (175 degrees C) for 12 to 15 minutes. Let cool completely and sprinkle with confectioners' sugar."
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","1 ½ cups shortening","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","2 cups white sugar","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","½ cup molasses","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","2 large eggs eggs","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","4 cups all-purpose flour","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","4 teaspoons baking soda","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","2 teaspoons ground cinnamon","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon salt","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon ground cloves","",""
"Molasses Sugar Cookies II","https://www.allrecipes.com/recipe/11038/molasses-sugar-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon ground ginger","",""
"","","","Step 1","Melt shortening and cool. Add sugar, eggs and molasses; beat well."
